rating_id,user_id,game_id,review,rating_date
1,1340,18,Terrible controls and clunky gameplay.,1988-03-18
2,725,103,Amazing gameplay and story! Highly recommend.,2021-07-09
3,930,130,Amazing gameplay and story! Highly recommend.,2024-10-04
4,1287,125,Terrible controls and clunky gameplay.,2021-04-07
5,271,109,Glitches and bugs ruin the experience.,2018-09-19
6,1700,158,Terrible controls and clunky gameplay.,2023-12-08
7,185,3,Glitches and bugs ruin the experience.,2005-01-15
8,902,61,Innovative and engaging. Best game I’ve played in years.,2024-03-16
9,585,7,Super fun and addictive. Can’t wait for the sequel!,2023-10-12
10,877,109,Repetitive and gets boring quickly.,2005-12-07
11,1495,57,Amazing gameplay and story! Highly recommend.,1995-07-15
12,1758,59,Repetitive and gets boring quickly.,2004-11-05
13,60,117,Amazing gameplay and story! Highly recommend.,2016-06-17
14,424,101,Glitches and bugs ruin the experience.,2010-01-25
15,1809,150,Disappointing story and poorly designed levels.,1987-04-06
16,1474,122,Graphics and mechanics are top-notch. A must-play!,2014-10-14
17,843,68,Graphics and mechanics are top-notch. A must-play!,2001-10-21
18,1483,151,Disappointing story and poorly designed levels.,2024-01-13
19,533,154,Innovative and engaging. Best game I’ve played in years.,2012-04-11
20,750,168,Super fun and addictive. Can’t wait for the sequel!,2017-09-04
21,833,178,Loved the character development and the plot twists.,2024-01-10
22,555,89,Glitches and bugs ruin the experience.,2022-11-14
23,1634,81,Graphics and mechanics are top-notch. A must-play!,2013-02-08
24,1476,59,Repetitive and gets boring quickly.,2022-04-07
25,892,65,Overhyped and not worth the money.,2019-08-07
26,1438,66,Graphics and mechanics are top-notch. A must-play!,2006-08-05
27,1646,87,Repetitive and gets boring quickly.,2022-12-14
28,777,49,Overhyped and not worth the money.,2016-04-19
29,1100,158,Repetitive and gets boring quickly.,2022-04-17
30,710,11,Loved the character development and the plot twists.,2023-11-24
31,337,44,Glitches and bugs ruin the experience.,2019-05-20
32,715,7,Innovative and engaging. Best game I’ve played in years.,1980-10-17
33,1191,48,Disappointing story and poorly designed levels.,2023-04-27
34,1706,97,Amazing gameplay and story! Highly recommend.,2023-10-30
35,563,96,Amazing gameplay and story! Highly recommend.,2024-10-30
36,223,163,Loved the character development and the plot twists.,1991-02-04
37,22,40,Super fun and addictive. Can’t wait for the sequel!,2020-01-28
38,1260,66,Super fun and addictive. Can’t wait for the sequel!,2018-04-29
39,1569,192,Terrible controls and clunky gameplay.,2017-07-16
40,1157,131,Loved the character development and the plot twists.,2023-08-03
41,1962,13,Loved the character development and the plot twists.,2015-10-01
42,377,95,Terrible controls and clunky gameplay.,1998-04-04
43,308,51,Terrible controls and clunky gameplay.,2016-01-19
44,103,59,Overhyped and not worth the money.,1997-08-02
45,595,58,Amazing gameplay and story! Highly recommend.,2020-02-17
46,1269,193,Innovative and engaging. Best game I’ve played in years.,1999-09-29
47,1097,187,Disappointing story and poorly designed levels.,2021-07-28
48,431,77,Graphics and mechanics are top-notch. A must-play!,2022-12-27
49,1088,85,Disappointing story and poorly designed levels.,2012-01-25
50,666,105,Disappointing story and poorly designed levels.,2014-02-22
51,1130,150,Disappointing story and poorly designed levels.,2016-01-26
52,581,64,Loved the character development and the plot twists.,2020-10-25
53,841,37,Terrible controls and clunky gameplay.,2012-12-01
54,1070,128,Graphics and mechanics are top-notch. A must-play!,2014-03-20
55,1431,200,Repetitive and gets boring quickly.,2015-03-22
56,1854,71,Terrible controls and clunky gameplay.,2013-03-08
57,787,181,Loved the character development and the plot twists.,2024-09-12
58,980,152,Super fun and addictive. Can’t wait for the sequel!,2013-11-04
59,966,7,Innovative and engaging. Best game I’ve played in years.,2003-03-19
60,1915,160,Repetitive and gets boring quickly.,2022-06-19
61,1189,122,Disappointing story and poorly designed levels.,2011-12-29
62,1791,121,Loved the character development and the plot twists.,2018-12-29
63,77,163,Super fun and addictive. Can’t wait for the sequel!,2017-11-09
64,1226,131,Graphics and mechanics are top-notch. A must-play!,2015-10-11
65,1518,125,Innovative and engaging. Best game I’ve played in years.,2023-04-05
66,161,59,Loved the character development and the plot twists.,2024-09-17
67,1805,139,Terrible controls and clunky gameplay.,2021-06-02
68,559,190,Disappointing story and poorly designed levels.,2018-04-28
69,1084,84,Glitches and bugs ruin the experience.,2013-05-30
70,1032,192,Disappointing story and poorly designed levels.,2022-01-17
71,267,176,Innovative and engaging. Best game I’ve played in years.,2011-10-13
72,513,52,Loved the character development and the plot twists.,2021-05-13
73,679,42,Loved the character development and the plot twists.,2012-11-09
74,296,76,Innovative and engaging. Best game I’ve played in years.,2021-12-22
75,701,5,Super fun and addictive. Can’t wait for the sequel!,1989-04-23
76,1513,99,Loved the character development and the plot twists.,2021-05-27
77,1256,135,Super fun and addictive. Can’t wait for the sequel!,2024-08-29
78,5,130,Super fun and addictive. Can’t wait for the sequel!,2009-09-13
79,815,67,Loved the character development and the plot twists.,2006-01-28
80,1606,165,Super fun and addictive. Can’t wait for the sequel!,2023-10-25
81,1324,166,Innovative and engaging. Best game I’ve played in years.,2015-08-12
82,140,8,Terrible controls and clunky gameplay.,2022-02-14
83,380,138,Disappointing story and poorly designed levels.,2020-01-19
84,687,42,Amazing gameplay and story! Highly recommend.,2024-10-31
85,1987,79,Overhyped and not worth the money.,1999-08-20
86,1345,117,Glitches and bugs ruin the experience.,2015-06-23
87,551,62,Disappointing story and poorly designed levels.,2008-07-27
88,1197,32,Repetitive and gets boring quickly.,2024-08-23
89,1731,171,Amazing gameplay and story! Highly recommend.,2019-09-21
90,1902,107,Super fun and addictive. Can’t wait for the sequel!,2023-08-25
91,801,182,Loved the character development and the plot twists.,2024-10-31
92,167,48,Super fun and addictive. Can’t wait for the sequel!,2017-06-13
